name,scratch,avatar,video
apbyuf3er0daaxejyvlmapbyuf1i6g1f,https://scratch.mit.edu/projects/628107884/,https://soc-character-viewer.netlify.app/alexjbrown,https://youtu.be/pDWgUSD6REY
31ibhnukv5d8831idphowysm51pcv41p,https://scratch.mit.edu/projects/630294056/,https://soc-character-viewer.netlify.app/devcoder001,https://youtu.be/SLNLceA1kmQ
un2aw2ur8o1wq2aun2aw2c4nky6asz21,https://scratch.mit.edu/projects/638068327/#,https://soc-character-viewer.netlify.app/flightlessinsect,https://youtu.be/BXT8lJxsqeg
vqfhhe28ulculsxh2ovfn6vqfho8iin9,https://scratch.mit.edu/projects/548380375,https://soc-character-viewer.netlify.app/chjmn95,https://youtu.be/DcZiRyWODdw
mub18hys8t4w95o4emub18f0gcczea2y,https://scratch.mit.edu/projects/709687635,https://soc-character-viewer.netlify.app/sahidcode1995,https://youtu.be/3YjU1hQW65c
jn9e842ni68n0yjn9e8ek116txol6rde,https://scratch.mit.edu/projects/296771546,https://soc-character-viewer.netlify.app/rohamlet,https://youtu.be/RGRuwPI6Mj0
mztztak0arpey9y5xgmztztq5zljs6rk,https://scratch.mit.edu/projects/711689896,https://soc-character-viewer.netlify.app/llani.rainey@gmail.com,https://youtu.be/_ZS7DyCjmrQ
08nz4pq9d44bzxobzphue08nz4pqiy0s,https://scratch.mit.edu/projects/707345171,https://soc-character-viewer.netlify.app/mrcheese,https://youtu.be/NeaxPq37oig
tcho3fwqr2gbdy1xntchovpb9tcywr1w,https://scratch.mit.edu/projects/724164384,https://soc-character-viewer.netlify.app/edwardwebster1318,https://youtu.be/XbKZew29q0k
j5k6xylw6e0imbzxnj5k6xy26u3d7t8k,https://scratch.mit.edu/projects/726290733,https://soc-character-viewer.netlify.app/ishanchadha,https://youtu.be/eiO92JZ0emo
g7bkiafcztw0zbhbtyvrjg7bkij5n3iv,https://scratch.mit.edu/projects/761013760,https://soc-character-viewer.netlify.app/raymondo,https://youtu.be/bjr_LLvPkko
yfobwogxrd34tazaiyfoskky6kr8im25,https://scratch.mit.edu/projects/761664915,https://soc-character-viewer.netlify.app/Michal17,https://youtu.be/Y9QQiHmJL6Q
xw2qfodesxzmizj85xw2qfwjh7wl5wjh,https://scratch.mit.edu/projects/835900603/,https://soc-character-viewer.netlify.app/sirbacharach,https://youtu.be/mH1kuHRUicI
d2pwki8110f2h520d9xbd2pwkiof25p7,https://scratch.mit.edu/projects/802588631,https://soc-character-viewer.netlify.app/alexmillar,https://youtu.be/6tvruyxYYP4
ub2s4yumfqkwojzqjgub2s4tlba0ua1g,https://scratch.mit.edu/projects/757879922,https://soc-character-viewer.netlify.app/jenniferg1,https://youtu.be/V-lzFRqE2xg
s63l9d5amb1sewzmvu6s63l9d5hs0zwm,https://scratch.mit.edu/projects/756425211,https://soc-character-viewer.netlify.app/jgordge,https://youtu.be/-wuEVWHRe8o
ldju9sjmn3qy2zbe9ld8v9nl09wxdtxi,https://scratch.mit.edu/projects/711928897/,https://soc-character-viewer.netlify.app/sa3112,https://youtu.be/hOlFu5djZ04
bp5eqehsymix1snitbp5el7jlofgrnn3,https://scratch.mit.edu/projects/761283432,https://soc-character-viewer.netlify.app/peebee,https://youtu.be/38qLY8y5OZ8
69sinrn392sw349s69s7zjjv266uncjw,https://scratch.mit.edu/projects/759812569/,https://soc-character-viewer.netlify.app/opreadriana98,https://www.youtube.com/watch?v=_aCaiQ4cces
youjdbyah33oyoujb87qm9w9e1hgaxb8,https://scratch.mit.edu/projects/757829595,https://soc-character-viewer.netlify.app/oskarprzybylski,https://youtu.be/G34u2cYSr7U
l54ivcc3wu7lxku2injq10l54ivc9k42,https://scratch.mit.edu/projects/759491974,https://soc-character-viewer.netlify.app/jamesgregory,https://youtu.be/092fjg62By4
9tmx01ikrkutcgrss6g9tmx01cvs4fsf,https://scratch.mit.edu/projects/760761252/,https://soc-character-viewer.netlify.app/hthorley,https://youtu.be/KCvMpRqUfRY
po8zsgza3uq2ipq8072po8zstpoh8v2l,https://scratch.mit.edu/projects/761038265/editor,https://soc-character-viewer.netlify.app/loredana,https://www.youtube.com/watch?v=R6E_VZLZDNo
7tz8i0sn0qlqz72ppo6k7tz8i0s68wnz,https://scratch.mit.edu/projects/765980449,https://soc-character-viewer.netlify.app/timpcouch1988,https://youtu.be/9qFVRBm-nOA
5ah6ekw13m8lknb51e5ah6ekw13raini,https://scratch.mit.edu/projects/789056429,https://soc-character-viewer.netlify.app/tobias333,https://youtu.be/lBPmTnPEFQE
6xjmkse0tup1q9ytd7fq6xjmksvd9pv0,https://scratch.mit.edu/projects/766360301,https://soc-character-viewer.netlify.app/seanpeters,https://youtu.be/iN2A4I4dGXk
vj4uimu7lnn8yo1bvj4uidmtvvn29ca2,https://scratch.mit.edu/projects/767483316/,https://soc-character-viewer.netlify.app/ohussain,https://youtu.be/qYHklyNXUxw
bhxjck9q8veqb5z8ii3qq7bhxcoq4ju7,https://scratch.mit.edu/projects/766206707,https://soc-character-viewer.netlify.app/tedness,https://youtu.be/5mvN9NoiVUk
twfcz2dl6ygbrymx2zqtwfcz2my5ep12,https://scratch.mit.edu/projects/767844174,https://soc-character-viewer.netlify.app/emilyturner,https://youtu.be/MqWoAhH-KKw
f7iziudyb274lc4g8v4nvs1f7iziucld,https://scratch.mit.edu/projects/768637001/,https://soc-character-viewer.netlify.app/jonesth,https://youtu.be/zuutRX-X_Q4
5xk9odltrj2rwhxuj45xk9oku0sx202p,https://scratch.mit.edu/projects/768389656,https://soc-character-viewer.netlify.app/eva100,https://youtu.be/QylWcMcAo6c https://youtu.be/PPcEMKDyO0o
